timestamp,Binance_BTCTUSD,MEXC_BTCUSDT
2023-07-02 13:58:20,30565.7,30522.0,30555.0
2023-07-02 13:58:26,30566.12,30522.0,30555.0
2023-07-02 13:58:32,30564.67,30522.0,30550.5
2023-07-02 13:58:37,30563.16,30516.9,30550.0
2023-07-02 13:58:43,30565.38,30516.9,30550.0
2023-07-02 13:58:48,30566.61,30517.0,30550.0
2023-07-02 13:58:54,30566.0,30516.9,30550.0
2023-07-02 13:58:59,30565.9,30517.0,30550.5
2023-07-02 13:59:05,30565.82,30517.0,30550.0
2023-07-02 13:59:11,30566.58,30517.0,30550.5
2023-07-02 13:59:16,30561.83,30516.1,30549.0
2023-07-02 13:59:22,30561.04,30516.2,30549.0
2023-07-02 13:59:28,30560.52,30510.9,30549.0
2023-07-02 13:59:33,30560.54,30510.9,30549.0
2023-07-02 13:59:39,30560.91,30511.1,30549.0
2023-07-02 13:59:45,30564.79,30511.1,30549.0
2023-07-02 13:59:51,30562.7,30511.1,30549.5
2023-07-02 13:59:57,30562.56,30511.1,30549.5
2023-07-02 14:00:03,30563.16,30511.0,30549.0
2023-07-02 14:00:09,30564.88,30511.0,30549.0
2023-07-02 14:00:16,30565.7,30511.0,30549.0
2023-07-02 14:00:21,30565.75,30511.0,30549.5
2023-07-02 14:00:27,30563.93,30511.0,30549.5
2023-07-02 14:00:33,30564.7,30511.1,30549.5
2023-07-02 14:00:38,30562.87,30511.0,30549.5
2023-07-02 14:00:44,30561.14,30511.0,30549.5
2023-07-02 14:00:49,30562.73,30511.0,30549.5
2023-07-02 14:00:56,30562.21,30511.1,30549.0
2023-07-02 14:01:01,30561.14,30511.1,30549.0
2023-07-02 14:01:07,30561.16,30511.0,30549.0
2023-07-02 14:01:13,30560.55,30511.0,30549.0
2023-07-02 14:01:19,30558.98,30511.0,30549.0
2023-07-02 14:01:25,30557.71,30511.0,30549.0
2023-07-02 14:01:30,30557.56,30511.0,30545.0
2023-07-02 14:01:37,30559.01,30511.1,30544.5
2023-07-02 14:01:42,30558.19,30511.1,30544.0
2023-07-02 14:01:49,30559.86,30511.0,30544.0
2023-07-02 14:01:54,30559.27,30511.0,30544.0
2023-07-02 14:02:00,30559.49,30511.0,30544.0
2023-07-02 14:02:06,30560.06,30511.1,30544.0
2023-07-02 14:02:11,30560.51,30511.1,30544.0
2023-07-02 14:02:17,30560.56,30511.1,30544.0
2023-07-02 14:14:33,30566.71,30510.5,30549.0
2023-07-02 14:14:38,30567.0,30510.5,30549.0
2023-07-02 14:14:44,30566.01,30510.5,30549.0
2023-07-02 14:14:50,30564.84,30510.5,30549.0
2023-07-02 14:14:56,30564.57,30510.5,30549.0
2023-07-02 14:15:01,30563.24,30510.5,30549.0
2023-07-02 14:15:07,30563.0,30510.5,30549.0
2023-07-02 14:15:12,30565.09,30510.5,30549.0
2023-07-02 14:15:18,30564.91,30510.5,30549.0
2023-07-02 14:15:24,30564.68,30510.5,30549.5
2023-07-02 14:15:30,30565.64,30510.5,30549.5
2023-07-02 14:15:36,30565.11,30510.5,30549.5
2023-07-02 14:15:41,30564.91,30510.5,30549.5
2023-07-02 14:15:47,30563.75,30510.5,30549.5
2023-07-02 14:15:53,30563.06,30510.5,30549.0
2023-07-02 14:15:59,30563.5,30510.5,30549.0
2023-07-02 14:16:06,30562.93,30510.5,30549.0
2023-07-02 14:16:11,30562.39,30510.5,30549.0
2023-07-02 14:16:43,30561.93,30510.5,30549.5
2023-07-02 14:16:49,30563.82,30510.5,30549.5
2023-07-02 14:16:55,30564.73,30510.5,30549.5
2023-07-02 14:17:00,30563.88,30510.5,30549.5
2023-07-02 14:17:07,30563.29,30510.5,30549.5
2023-07-02 14:17:12,30561.71,30510.5,30549.5
2023-07-02 14:17:18,30563.43,30510.5,30549.5
2023-07-02 14:17:23,30562.25,30510.5,30549.5
2023-07-02 14:17:29,30563.18,30510.5,30549.5
2023-07-02 14:17:35,30562.39,30510.5,30549.5
2023-07-02 14:17:41,30562.19,30510.5,30549.5
2023-07-02 14:17:47,30561.65,30510.5,30549.5
2023-07-02 14:17:53,30561.36,30510.5,30549.5
2023-07-02 14:17:59,30562.74,30510.5,30549.5
2023-07-02 14:18:05,30562.55,30510.5,30549.5
2023-07-02 14:18:11,30562.9,30510.5,30549.5
2023-07-02 14:18:17,30563.97,30510.5,30549.5
2023-07-02 14:18:23,30565.99,30510.5,30549.5
2023-07-02 14:18:29,30565.92,30512.2,30549.5
2023-07-02 14:18:35,30566.57,30512.2,30549.5
2023-07-02 14:18:41,30566.76,30512.2,30549.5
2023-07-02 14:18:47,30566.07,30512.2,30549.5
2023-07-02 14:18:53,30568.01,30513.3,30549.5
2023-07-02 14:18:59,30567.56,30513.3,30549.5
2023-07-02 14:19:05,30567.49,30513.3,30549.5
2023-07-02 14:19:11,30566.58,30513.3,30549.5
2023-07-02 14:19:17,30567.84,30513.3,30549.5
2023-07-02 14:19:23,30568.41,30513.3,30549.5
2023-07-02 14:19:29,30566.97,30514.0,30549.5
2023-07-02 14:19:35,30568.76,30514.0,30549.5
2023-07-02 14:19:41,30567.4,30514.0,30549.5
2023-07-02 14:19:47,30567.57,30514.0,30549.5
2023-07-02 14:19:53,30565.98,30514.0,30549.5
2023-07-02 14:19:59,30568.4,30514.0,30549.5
2023-07-02 14:20:05,30563.7,30514.0,30549.5
2023-07-02 14:20:11,30563.57,30514.0,30549.5
2023-07-02 14:20:17,30563.75,30514.0,30549.5
2023-07-02 14:20:22,30563.44,30514.0,30549.5
2023-07-02 14:20:28,30558.51,30509.4,30549.5
2023-07-02 14:20:34,30559.08,30509.4,30549.5
2023-07-02 14:20:41,30559.88,30509.4,30549.5
2023-07-02 14:20:46,30559.77,30509.4,30549.5
2023-07-02 14:20:52,30559.89,30509.4,30549.5
2023-07-02 14:20:58,30558.98,30509.4,30549.5
2023-07-02 14:21:03,30558.02,30509.4,30549.5
2023-07-02 14:21:09,30559.46,30509.4,30549.5
2023-07-02 14:21:15,30560.89,30509.4,30549.5
2023-07-02 14:21:21,30561.99,30509.4,30549.5
2023-07-02 14:21:27,30560.91,30509.4,30549.5
2023-07-02 14:21:33,30560.82,30509.4,30549.5
2023-07-02 14:21:39,30560.5,30509.4,30549.5
2023-07-02 14:21:45,30565.21,30509.7,30549.5
2023-07-02 14:21:51,30565.39,30510.2,30549.5
2023-07-02 14:21:57,30566.0,30510.2,30549.5
2023-07-02 14:22:03,30563.53,30510.2,30549.5
2023-07-02 14:22:09,30562.92,30510.2,30549.5
2023-07-02 14:22:16,30563.57,30510.2,30549.5
2023-07-02 14:22:22,30554.71,30506.1,30537.0
2023-07-02 14:22:28,30553.75,30504.6,30537.0
2023-07-02 14:22:34,30551.84,30501.6,30537.0
