timestamp,Bybit_ETHUSDC_bid,Bybit_ETHUSDC_ask,Deribit_ETHPERPETUAL_bid,Deribit_ETHPERPETUAL_ask,Bitget_ETHPERPCMCBL_bid,Bitget_ETHPERPCMCBL_ask
2023-07-30 16:26:45,1881.62,1881.78,1882.9,1882.95,1881.76,1881.82
2023-07-30 16:26:52,1881.62,1881.75,1882.9,1882.95,1881.76,1881.82
2023-07-30 16:26:58,1881.67,1881.79,1882.9,1882.95,1881.76,1881.82
2023-07-30 16:27:05,1881.69,1881.87,1882.9,1882.95,1881.76,1881.82
2023-07-30 16:27:10,1881.72,1881.87,1882.9,1882.95,1881.76,1881.82
2023-07-30 16:27:16,1881.75,1881.85,1882.9,1882.95,1881.76,1881.82
2023-07-30 16:27:21,1881.75,1881.85,1882.9,1882.95,1881.76,1881.82
2023-07-30 16:27:27,1881.94,1882.04,1882.9,1882.95,1881.76,1881.82
2023-07-30 16:27:33,1881.92,1882.01,1882.85,1882.9,1881.76,1881.82
2023-07-30 16:27:39,1881.97,1882.11,1882.85,1882.9,1881.79,1881.85
2023-07-30 16:27:45,1881.73,1881.86,1882.85,1882.9,1881.79,1881.85
2023-07-30 16:27:51,1881.82,1881.92,1882.85,1882.9,1881.79,1881.85
2023-07-30 16:27:57,1881.85,1881.98,1882.85,1882.9,1881.79,1881.85
2023-07-30 16:28:03,1881.93,1881.99,1882.85,1882.9,1881.79,1881.85
2023-07-30 16:28:10,1881.83,1881.97,1882.75,1882.8,1881.79,1881.85
2023-07-30 16:28:16,1881.92,1882.07,1882.75,1882.8,1881.79,1881.85
2023-07-30 16:28:22,1881.91,1882.04,1882.7,1882.75,1881.79,1881.85
2023-07-30 16:28:27,1881.9,1882.0,1882.7,1882.75,1881.79,1881.85
2023-07-30 16:28:33,1881.85,1881.99,1882.7,1882.75,1881.79,1881.85
2023-07-30 16:28:39,1881.91,1882.09,1882.65,1882.7,1881.79,1881.85
2023-07-30 16:28:45,1881.85,1881.99,1882.65,1882.7,1881.79,1881.85
2023-07-30 16:28:52,1881.65,1881.79,1882.65,1882.7,1881.79,1881.85
2023-07-30 16:28:58,1881.86,1881.94,1882.65,1882.7,1881.79,1881.85
2023-07-30 16:29:04,1881.79,1881.9,1882.65,1882.7,1881.79,1881.85
2023-07-30 16:29:10,1881.76,1881.9,1882.65,1882.7,1881.79,1881.85
2023-07-30 16:29:17,1881.78,1881.91,1882.65,1882.7,1881.79,1881.85
2023-07-30 16:29:22,1881.75,1881.8,1882.65,1882.7,1881.79,1881.85
2023-07-30 16:29:28,1881.51,1881.8,1882.65,1882.7,1881.79,1881.85
2023-07-30 16:29:33,1881.16,1881.27,1882.25,1882.3,1880.92,1881.4
2023-07-30 16:29:40,1881.07,1881.22,1882.25,1882.3,1880.87,1880.93
2023-07-30 16:29:45,1881.0,1881.15,1882.25,1882.3,1880.87,1880.93
2023-07-30 16:29:51,1881.05,1881.15,1882.25,1882.3,1880.87,1880.93
