timestamp,MEXC_BTC/USDT_Ask,MEXC_BTC/USDT_Bid,Bybit_BTCUSDC_Ask,Bybit_BTCUSDC_Bid,Diff
2023-09-03 11:55:03,25931.14,25931.13,25931.74,25928.08,0.6000000000021828
2023-09-03 11:55:06,25931.14,25931.13,25931.91,25928.12,0.7700000000004366
2023-09-03 11:55:07,25931.14,25931.13,25931.99,25928.23,0.8500000000021828
2023-09-03 11:55:10,25931.14,25931.13,25932.0,25928.81,0.8600000000005821
2023-09-03 11:55:12,25931.14,25931.13,25931.99,25928.97,0.8500000000021828
2023-09-03 11:55:13,25931.14,25931.13,25931.99,25928.7,0.8500000000021828
2023-09-03 11:55:15,25931.14,25931.13,25931.99,25928.66,0.8500000000021828
2023-09-03 11:55:17,25931.14,25931.13,25931.99,25928.91,0.8500000000021828
2023-09-03 11:55:19,25931.14,25931.13,25931.99,25928.67,0.8500000000021828
2023-09-03 11:55:21,25931.14,25931.13,25931.99,25928.73,0.8500000000021828
2023-09-03 11:55:22,25931.14,25931.13,25931.99,25928.84,0.8500000000021828
2023-09-03 11:58:47,25932.97,25932.96,25931.99,25929.33,-0.9799999999995634
2023-09-03 11:58:49,25932.97,25932.96,25931.99,25929.33,-0.9799999999995634
2023-09-03 11:58:52,25932.97,25932.96,25932.0,25929.33,-0.9700000000011642
2023-09-03 11:58:53,25932.97,25932.96,25931.96,25929.33,-1.0100000000020373
2023-09-03 11:58:55,25932.97,25932.96,25931.83,25929.33,-1.139999999999418
2023-09-03 11:58:56,25932.97,25932.96,25931.98,25929.33,-0.9900000000016007
2023-09-03 11:58:58,25932.97,25932.96,25932.0,25929.33,-0.9700000000011642
2023-09-03 11:58:59,25932.97,25932.96,25932.0,25929.33,-0.9700000000011642
2023-09-03 11:59:01,25932.97,25932.96,25932.0,25929.34,-0.9700000000011642
2023-09-03 11:59:03,25932.97,25932.96,25931.95,25929.34,-1.0200000000004366
2023-09-03 11:59:05,25932.97,25932.96,25929.6,25926.76,-3.3700000000026193
2023-09-03 11:59:06,25932.97,25932.96,25929.6,25926.8,-3.3700000000026193
2023-09-03 11:59:08,25932.97,25932.96,25929.49,25925.3,-3.4799999999995634
2023-09-03 11:59:10,25932.97,25932.96,25929.26,25925.3,-3.710000000002765
2023-09-03 11:59:11,25932.97,25932.96,25929.24,25925.3,-3.7299999999995634
2023-09-03 11:59:13,25932.97,25932.96,25929.25,25926.67,-3.720000000001164
2023-09-03 11:59:14,25932.97,25932.96,25929.59,25926.61,-3.3800000000010186
