timestamp,value
2009-06-04T00:00:00Z,0
2009-06-05T00:00:00Z,0
2009-06-06T00:00:00Z,0
2009-06-07T00:00:00Z,0
2009-06-08T00:00:00Z,0
2009-06-09T00:00:00Z,0
2009-06-10T00:00:00Z,0
2009-06-11T00:00:00Z,0
2009-06-12T00:00:00Z,0
2009-06-13T00:00:00Z,0
2009-06-14T00:00:00Z,0
2009-06-15T00:00:00Z,0
2009-06-16T00:00:00Z,0
2009-06-17T00:00:00Z,0
2009-06-18T00:00:00Z,0
2009-06-19T00:00:00Z,0
2009-06-20T00:00:00Z,0
2009-06-21T00:00:00Z,0
2009-06-22T00:00:00Z,45720.5625
2009-06-23T00:00:00Z,0
2009-06-24T00:00:00Z,5469.91352893519
2009-06-25T00:00:00Z,6954.55150462963
2009-06-26T00:00:00Z,0
2009-06-27T00:00:00Z,0
2009-06-28T00:00:00Z,42.0147569444444
2009-06-29T00:00:00Z,59.115625
2009-06-30T00:00:00Z,146.308101851852
2009-07-01T00:00:00Z,159.990740740741
2009-07-02T00:00:00Z,21.9618055555556
2009-07-03T00:00:00Z,0
2009-07-04T00:00:00Z,0
2009-07-05T00:00:00Z,0
2009-07-06T00:00:00Z,0
2009-07-07T00:00:00Z,0
2009-07-08T00:00:00Z,0
2009-07-09T00:00:00Z,0
2009-07-10T00:00:00Z,0
2009-07-11T00:00:00Z,0
2009-07-12T00:00:00Z,0
2009-07-13T00:00:00Z,0
2009-07-14T00:00:00Z,0
2009-07-15T00:00:00Z,0
2009-07-16T00:00:00Z,0
2009-07-17T00:00:00Z,0
2009-07-18T00:00:00Z,0
2009-07-19T00:00:00Z,0
2009-07-20T00:00:00Z,98404.0052467593
2009-07-21T00:00:00Z,0
2009-07-22T00:00:00Z,0
2009-07-23T00:00:00Z,0
2009-07-24T00:00:00Z,0
2009-07-25T00:00:00Z,0
2009-07-26T00:00:00Z,0
2009-07-27T00:00:00Z,0
2009-07-28T00:00:00Z,0
2009-07-29T00:00:00Z,312.236111111111
2009-07-30T00:00:00Z,29.7997106481481
2009-07-31T00:00:00Z,0
2009-08-01T00:00:00Z,0
2009-08-02T00:00:00Z,0
2009-08-03T00:00:00Z,0
2009-08-04T00:00:00Z,0
2009-08-05T00:00:00Z,0
2009-08-06T00:00:00Z,0
2009-08-07T00:00:00Z,67646.5353025463
2009-08-08T00:00:00Z,0
2009-08-09T00:00:00Z,0
2009-08-10T00:00:00Z,0
2009-08-11T00:00:00Z,0
2009-08-12T00:00:00Z,0
2009-08-13T00:00:00Z,0
2009-08-14T00:00:00Z,0
