timestamp,Bybit_ETHUSDC_bid,Bybit_ETHUSDC_ask,Deribit_BTCPERPETUAL_bid,Deribit_BTCPERPETUAL_ask,Bitget_ETHUSDTUMCBL_bid,Bitget_ETHUSDTUMCBL_ask
2023-08-08 13:24:52,1834.87,1834.97,29424.5,29425.0,1835.82,1835.83
2023-08-08 13:25:08,1834.88,1834.97,29420.5,29421.0,1835.55,1835.56
2023-08-08 13:25:24,1835.44,1835.57,29441.0,29441.5,1835.99,1836.0
2023-08-08 13:25:39,1837.01,1837.18,29446.0,29446.5,1837.78,1837.8
2023-08-08 13:25:55,1836.59,1836.7,29449.5,29450.0,1837.6,1837.61
2023-08-08 13:26:11,1836.8,1836.93,29449.5,29450.0,1837.63,1837.64
2023-08-08 13:26:26,1836.89,1837.06,29452.5,29453.0,1838.01,1838.02
2023-08-08 13:26:42,1836.68,1836.79,29455.0,29455.5,1837.84,1837.85
2023-08-08 13:26:57,1836.64,1836.77,29462.5,29463.0,1837.88,1837.89
2023-08-08 13:27:14,1836.82,1836.96,29462.5,29463.0,1837.89,1837.91
2023-08-08 13:27:30,1836.27,1836.41,29451.5,29452.0,1837.44,1837.45
2023-08-08 13:27:46,1836.85,1836.95,29471.0,29471.5,1837.78,1837.79
2023-08-08 13:28:02,1837.01,1837.12,29473.5,29474.0,1837.87,1837.88
2023-08-08 13:28:17,1836.52,1836.7,29467.0,29467.5,1837.91,1837.92
2023-08-08 13:28:33,1836.43,1836.52,29460.0,29460.5,1837.48,1837.49
2023-08-08 13:28:49,1836.48,1836.63,29466.5,29467.0,1837.62,1837.63
2023-08-08 13:29:05,1836.49,1836.58,29463.5,29464.0,1837.44,1837.45
2023-08-08 13:29:21,1835.9,1836.05,29456.0,29456.5,1836.96,1836.97
2023-08-08 13:29:36,1836.3,1836.38,29456.0,29456.5,1837.26,1837.27
2023-08-08 13:29:52,1836.37,1836.54,29463.0,29463.5,1837.44,1837.45
2023-08-08 13:30:09,1836.42,1836.51,29463.0,29463.5,1837.39,1837.4
2023-08-08 13:30:24,1836.9,1837.0,29474.5,29475.0,1837.7,1837.71
2023-08-08 13:30:41,1836.89,1836.98,29476.5,29477.0,1837.8,1837.81
2023-08-08 13:30:57,1836.28,1836.41,29465.0,29465.5,1837.28,1837.29
2023-08-08 13:31:13,1835.57,1835.7,29453.0,29453.5,1836.56,1836.57
2023-08-08 13:31:29,1835.05,1835.19,29449.0,29449.5,1836.15,1836.17
2023-08-08 13:31:45,1835.37,1835.45,29449.0,29449.5,1836.04,1836.05
2023-08-08 13:32:00,1835.28,1835.42,29453.5,29454.0,1836.12,1836.13
2023-08-08 13:32:17,1835.14,1835.19,29448.5,29449.0,1835.95,1835.96
2023-08-08 13:32:32,1834.96,1835.06,29447.0,29447.5,1835.94,1835.95
2023-08-08 13:32:48,1834.83,1834.96,29442.5,29443.0,1835.94,1835.95
2023-08-08 13:33:04,1834.69,1834.79,29436.5,29437.0,1835.55,1835.56
2023-08-08 13:33:20,1834.85,1834.99,29431.5,29432.0,1835.36,1835.38
2023-08-08 13:33:36,1834.74,1834.89,29434.5,29435.0,1835.45,1835.46
2023-08-08 13:33:51,1834.83,1834.95,29434.5,29435.0,1835.45,1835.46
2023-08-08 13:34:07,1834.81,1834.92,29432.0,29432.5,1835.45,1835.46
2023-08-08 13:34:23,1834.72,1834.88,29432.0,29432.5,1835.43,1835.44
2023-08-08 13:34:39,1834.71,1834.81,29429.0,29429.5,1835.39,1835.4
2023-08-08 13:34:55,1835.12,1835.19,29442.0,29442.5,1835.9,1835.92
2023-08-08 13:35:11,1835.5,1835.59,29440.5,29441.0,1835.99,1836.0
2023-08-08 13:35:27,1835.98,1836.07,29454.0,29454.5,1836.76,1836.77
2023-08-08 13:35:43,1836.21,1836.32,29455.5,29456.0,1836.85,1836.86
2023-08-08 13:35:59,1836.21,1836.27,29458.0,29458.5,1836.86,1836.87
2023-08-08 13:36:15,1836.2,1836.3,29464.0,29464.5,1836.96,1836.97
2023-08-08 13:36:31,1836.29,1836.45,29463.5,29464.0,1837.0,1837.01
2023-08-08 13:36:47,1836.21,1836.37,29463.5,29464.0,1837.0,1837.01
2023-08-08 13:37:02,1836.21,1836.26,29460.5,29461.0,1837.0,1837.01
2023-08-08 13:37:18,1836.17,1836.27,29460.5,29461.0,1836.77,1836.78
2023-08-08 13:37:34,1836.3,1836.43,29460.5,29461.0,1836.94,1836.95
2023-08-08 13:37:50,1836.53,1836.65,29468.5,29469.0,1837.43,1837.44
2023-08-08 13:38:06,1836.41,1836.52,29468.5,29469.0,1837.23,1837.24
2023-08-08 13:38:22,1836.54,1836.67,29475.0,29475.5,1837.43,1837.44
2023-08-08 13:38:37,1836.65,1836.74,29475.0,29475.5,1837.44,1837.45
2023-08-08 13:38:53,1837.12,1837.27,29487.5,29488.0,1837.99,1838.0
2023-08-08 13:39:09,1837.21,1837.3,29487.0,29487.5,1838.13,1838.14
2023-08-08 13:39:25,1837.93,1838.09,29489.5,29490.0,1838.74,1838.75
2023-08-08 13:39:41,1837.67,1837.79,29488.0,29488.5,1838.52,1838.53
2023-08-08 13:39:57,1837.74,1837.84,29489.5,29490.0,1838.65,1838.66
2023-08-08 13:40:12,1837.92,1838.13,29505.0,29505.5,1838.89,1838.9
2023-08-08 13:40:28,1837.88,1837.99,29495.5,29496.0,1838.89,1838.9
2023-08-08 13:40:47,1837.3,1837.39,29481.5,29482.0,1838.21,1838.22
2023-08-08 13:41:02,1837.75,1837.86,29493.0,29493.5,1838.49,1838.5
2023-08-08 13:41:20,1837.86,1837.93,29493.0,29493.5,1838.67,1838.69
2023-08-08 13:41:36,1837.62,1837.76,29492.0,29492.5,1838.42,1838.43
2023-08-08 13:41:52,1837.69,1837.84,29492.0,29492.5,1838.61,1838.62
2023-08-08 13:42:07,1837.34,1837.44,29483.5,29484.5,1838.18,1838.19
2023-08-08 13:42:23,1838.04,1838.13,29494.5,29495.0,1838.74,1838.75
2023-08-08 13:42:38,1838.23,1838.32,29501.5,29502.0,1838.95,1838.96
2023-08-08 13:42:54,1838.3,1838.4,29499.5,29500.0,1839.15,1839.16
