timestamp,Binance_BTCTUSD,MEXC_BTCUSDT
2023-06-28 08:20:45,30306.25,30242.01
2023-06-28 08:20:53,30311.85,30250.0
2023-06-28 08:21:02,30313.88,30250.0
2023-06-28 08:21:10,30308.34,30250.0
2023-06-28 08:21:18,30305.51,30249.49
2023-06-28 08:21:27,30306.76,30246.01
2023-06-28 08:21:35,30303.23,30244.02
2023-06-28 08:21:43,30303.78,30244.01
2023-06-28 08:21:51,30304.51,30240.01
2023-06-28 08:21:59,30306.72,30241.81
2023-06-28 08:22:08,30308.44,30243.57
2023-06-28 08:22:16,30308.45,30243.57
2023-06-28 08:22:25,30308.41,30246.89
2023-06-28 08:22:33,30313.65,30246.89
2023-06-28 08:22:41,30308.12,30246.89
2023-06-28 08:22:50,30305.24,30244.81
2023-06-28 08:22:58,30309.65,30241.81
2023-06-28 08:23:06,30307.72,30241.81
2023-06-28 08:23:14,30306.0,30241.81
2023-06-28 08:23:22,30305.57,30241.81
2023-06-28 08:23:30,30306.0,30241.81
2023-06-28 08:23:38,30306.29,30241.81
2023-06-28 08:23:46,30308.21,30241.81
2023-06-28 08:23:54,30303.78,30241.81
2023-06-28 08:24:02,30304.19,30241.81
2023-06-28 08:24:10,30313.29,30241.81
2023-06-28 08:24:18,30318.44,30249.5
2023-06-28 08:24:26,30315.47,30255.0
2023-06-28 08:24:34,30314.53,30255.0
2023-06-28 08:24:42,30315.22,30252.12
2023-06-28 08:24:50,30317.45,30253.63
2023-06-28 08:24:59,30315.47,30253.93
2023-06-28 08:25:08,30313.97,30252.44
2023-06-28 08:25:16,30309.12,30252.44
2023-06-28 08:25:24,30304.19,30250.06
2023-06-28 08:25:32,30304.48,30243.46
2023-06-28 08:25:41,30316.4,30243.46
2023-06-28 08:25:49,30314.88,30252.0
2023-06-28 08:25:57,30319.99,30254.43
2023-06-28 08:26:05,30315.85,30258.88
2023-06-28 08:26:13,30319.25,30258.88
2023-06-28 08:26:21,30320.68,30258.88
2023-06-28 08:26:29,30320.64,30258.88
2023-06-28 08:26:37,30317.67,30262.0
2023-06-28 08:26:46,30319.29,30262.0
