timestamp,BTC-07JUL23,BTC-23JUN23,BTC-25AUG23,BTC-28JUL23,BTC-29DEC23,BTC-29SEP23,BTC-30JUN23,BTCPERP,BTCUSDT,BTC-07JUL23_vs_BTCPERP,BTC-07JUL23_vs_BTCUSDT,BTC-23JUN23_vs_BTCPERP,BTC-23JUN23_vs_BTCUSDT,BTC-25AUG23_vs_BTCPERP,BTC-25AUG23_vs_BTCUSDT,BTC-28JUL23_vs_BTCPERP,BTC-28JUL23_vs_BTCUSDT,BTC-29DEC23_vs_BTCPERP,BTC-29DEC23_vs_BTCUSDT,BTC-29SEP23_vs_BTCPERP,BTC-29SEP23_vs_BTCUSDT,BTC-30JUN23_vs_BTCPERP,BTC-30JUN23_vs_BTCUSDT,BTCPERP_vs_BTCPERP,BTCPERP_vs_BTCUSDT,BTCUSDT_vs_BTCPERP,BTCUSDT_vs_BTCUSDT
2023-06-19 15:57:40,26497.65,26470.28,26622.27,26542.13,26996.78,26720.01,26485.50,26425.60,26430.10,72.05000000000291,67.55000000000291,44.68000000000029,40.18000000000029,196.6700000000019,192.1700000000019,116.53000000000247,112.03000000000247,571.1800000000003,566.6800000000003,294.40999999999985,289.90999999999985,59.900000000001455,55.400000000001455,0.0,-4.5,4.5,0.0
2023-06-19 15:58:17,26499.16,26472.42,26624.22,26544.09,26998.36,26723.29,26487.98,26425.60,26430.88,73.56000000000131,68.27999999999884,46.81999999999971,41.539999999997235,198.62000000000262,193.34000000000015,118.4900000000016,113.20999999999913,572.760000000002,567.4799999999996,297.6900000000023,292.40999999999985,62.38000000000102,57.099999999998545,0.0,-5.280000000002474,5.280000000002474,0.0
2023-06-19 15:58:40,26498.70,26471.74,26623.96,26543.50,27004.90,26722.76,26487.20,26425.60,26430.92,73.10000000000218,67.78000000000247,46.140000000003056,40.82000000000335,198.36000000000058,193.04000000000087,117.90000000000146,112.58000000000175,579.3000000000029,573.9800000000032,297.15999999999985,291.84000000000015,61.60000000000218,56.280000000002474,0.0,-5.319999999999709,5.319999999999709,0.0
2023-06-19 15:59:17,26499.00,26471.83,26624.40,26543.91,26998.86,26723.17,26487.30,26425.60,26430.71,73.40000000000146,68.29000000000087,46.2300000000032,41.12000000000262,198.8000000000029,193.69000000000233,118.31000000000131,113.20000000000073,573.260000000002,568.1500000000015,297.5699999999997,292.4599999999991,61.70000000000073,56.590000000000146,0.0,-5.110000000000582,5.110000000000582,0.0
2023-06-19 15:59:41,26499.20,26471.28,26624.64,26543.56,26998.65,26722.43,26486.48,26425.60,26430.37,73.60000000000218,68.83000000000175,45.68000000000029,40.909999999999854,199.04000000000087,194.27000000000044,117.96000000000276,113.19000000000233,573.0500000000029,568.2800000000025,296.83000000000175,292.0600000000013,60.88000000000102,56.11000000000058,0.0,-4.770000000000437,4.770000000000437,0.0
2023-06-19 16:00:17,26498.27,26468.76,26622.21,26543.07,26998.23,26720.51,26483.76,26425.60,26430.78,72.67000000000189,67.4900000000016,43.159999999999854,37.97999999999956,196.61000000000058,191.4300000000003,117.47000000000116,112.29000000000087,572.630000000001,567.4500000000007,294.90999999999985,289.72999999999956,58.159999999999854,52.97999999999956,0.0,-5.180000000000291,5.180000000000291,0.0
2023-06-19 16:00:41,26497.64,26468.13,26621.69,26542.42,26998.00,26719.74,26482.87,26425.60,26430.54,72.04000000000087,67.09999999999854,42.530000000002474,37.590000000000146,196.09000000000015,191.14999999999782,116.81999999999971,111.87999999999738,572.4000000000015,567.4599999999991,294.14000000000306,289.2000000000007,57.27000000000044,52.32999999999811,0.0,-4.940000000002328,4.940000000002328,0.0
2023-06-19 16:01:17,26496.63,26466.92,26620.66,26541.50,26997.52,26718.79,26481.63,26420.60,26430.48,76.03000000000247,66.15000000000146,46.31999999999971,36.43999999999869,200.0600000000013,190.1800000000003,120.90000000000146,111.02000000000044,576.9200000000019,567.0400000000009,298.1900000000023,288.3100000000013,61.030000000002474,51.150000000001455,0.0,-9.880000000001019,9.880000000001019,0.0
2023-06-19 16:01:41,26496.09,26466.14,26619.99,26540.98,26997.72,26718.41,26480.81,26420.60,26430.48,75.4900000000016,65.61000000000058,45.54000000000087,35.659999999999854,199.39000000000306,189.51000000000204,120.38000000000102,110.5,577.1200000000026,567.2400000000016,297.8100000000013,287.9300000000003,60.210000000002765,50.330000000001746,0.0,-9.880000000001019,9.880000000001019,0.0
2023-06-19 16:02:17,26495.74,26466.13,26620.13,26541.02,26997.87,26718.83,26480.68,26420.94,26429.80,74.80000000000291,65.94000000000233,45.19000000000233,36.330000000001746,199.19000000000233,190.33000000000175,120.08000000000175,111.22000000000116,576.9300000000003,568.0699999999997,297.89000000000306,289.0300000000025,59.7400000000016,50.88000000000102,0.0,-8.860000000000582,8.860000000000582,0.0
