timestamp,Bybit_ETHUSDC_bid,Bybit_ETHUSDC_ask,Deribit_ETHPERPETUAL_bid,Deribit_ETHPERPETUAL_ask,Bitget_ETHPERPCMCBL_bid,Bitget_ETHPERPCMCBL_ask
2023-07-30 15:25:46,1882.01,1882.2,1883.05,1883.1,1881.41,1881.64
2023-07-30 15:25:57,1882.03,1882.3,1883.05,1883.1,1881.76,1881.82
2023-07-30 15:26:08,1882.21,1882.35,1883.0,1883.05,1881.76,1881.82
2023-07-30 15:26:18,1882.21,1882.33,1883.0,1883.05,1881.76,1881.82
2023-07-30 15:26:29,1882.13,1882.28,1883.0,1883.05,1881.8,1881.86
2023-07-30 15:26:40,1881.68,1881.74,1883.0,1883.05,1881.76,1881.82
2023-07-30 15:26:50,1881.61,1881.75,1882.9,1882.95,1881.76,1881.82
2023-07-30 15:27:01,1881.7,1881.82,1882.9,1882.95,1881.76,1881.82
2023-07-30 15:27:12,1881.72,1881.87,1882.9,1882.95,1881.76,1881.82
2023-07-30 15:27:23,1881.77,1881.87,1882.9,1882.95,1881.76,1881.82
2023-07-30 15:27:33,1881.92,1882.02,1882.85,1882.9,1881.76,1881.82
2023-07-30 15:27:44,1881.73,1881.86,1882.85,1882.9,1881.79,1881.85
2023-07-30 15:27:55,1881.82,1881.96,1882.85,1882.9,1881.79,1881.85
2023-07-30 15:28:05,1881.89,1881.97,1882.85,1882.9,1881.79,1881.85
2023-07-30 15:28:16,1881.92,1882.07,1882.75,1882.8,1881.79,1881.85
2023-07-30 15:28:27,1881.88,1882.03,1882.7,1882.75,1881.79,1881.85
2023-07-30 15:28:38,1881.93,1882.08,1882.65,1882.7,1881.79,1881.85
2023-07-30 15:28:48,1881.81,1881.95,1882.65,1882.7,1881.79,1881.85
2023-07-30 15:28:59,1881.81,1881.94,1882.65,1882.7,1881.79,1881.85
2023-07-30 15:29:10,1881.76,1881.91,1882.65,1882.7,1881.79,1881.85
2023-07-30 15:29:20,1881.77,1881.9,1882.65,1882.7,1881.79,1881.85
2023-07-30 15:29:31,1881.21,1881.28,1882.65,1882.7,1881.79,1881.85
2023-07-30 15:29:42,1880.92,1881.14,1882.25,1882.3,1880.87,1880.93
2023-07-30 15:29:53,1881.07,1881.19,1882.25,1882.3,1880.87,1880.93
2023-07-30 15:30:03,1881.63,1881.8,1882.65,1882.7,1880.87,1881.12
2023-07-30 15:30:14,1881.82,1881.9,1882.7,1882.75,1881.27,1881.85
2023-07-30 15:30:25,1881.81,1881.95,1882.7,1882.75,1881.79,1881.85
2023-07-30 15:30:35,1881.69,1881.82,1882.7,1882.75,1881.79,1881.85
2023-07-30 15:30:46,1881.81,1881.94,1882.7,1882.75,1881.79,1881.85
2023-07-30 15:30:57,1881.84,1881.97,1882.7,1882.75,1881.79,1881.85
2023-07-30 15:31:08,1882.06,1882.18,1882.7,1882.75,1881.79,1881.85
2023-07-30 15:31:18,1881.64,1881.77,1882.7,1882.75,1881.79,1881.85
2023-07-30 15:31:29,1882.02,1882.13,1882.7,1882.75,1881.79,1881.85
2023-07-30 15:31:40,1881.97,1882.14,1882.7,1882.75,1881.79,1881.85
2023-07-30 15:31:50,1881.63,1881.69,1882.7,1882.75,1881.79,1881.85
2023-07-30 15:32:01,1881.73,1881.88,1882.7,1882.75,1881.79,1881.85
2023-07-30 15:32:12,1881.72,1881.81,1882.7,1882.75,1881.79,1881.85
2023-07-30 15:32:22,1881.81,1881.99,1882.7,1882.75,1881.79,1881.85
2023-07-30 15:32:33,1881.81,1881.98,1882.7,1882.75,1881.79,1881.85
2023-07-30 15:32:44,1881.73,1881.93,1882.7,1882.75,1881.79,1881.85
2023-07-30 15:32:54,1881.51,1881.65,1882.7,1882.75,1881.79,1881.85
2023-07-30 15:33:05,1881.21,1881.34,1882.7,1882.75,1881.79,1881.85
2023-07-30 15:33:16,1880.83,1881.01,1882.3,1882.35,1880.96,1881.27
2023-07-30 15:33:27,1880.69,1880.84,1882.3,1882.35,1880.96,1881.02
2023-07-30 15:33:37,1880.88,1881.01,1882.2,1882.25,1880.96,1881.02
2023-07-30 15:33:48,1880.48,1880.62,1882.0,1882.05,1880.96,1881.02
2023-07-30 15:33:59,1880.71,1880.88,1882.0,1882.05,1880.96,1881.02
2023-07-30 15:34:09,1880.75,1880.89,1882.0,1882.05,1880.61,1880.67
2023-07-30 15:34:20,1880.93,1881.1,1882.2,1882.25,1880.61,1880.67
2023-07-30 15:34:31,1880.52,1880.76,1882.2,1882.25,1880.61,1880.67
2023-07-30 15:34:42,1880.9,1881.03,1882.2,1882.25,1880.39,1880.65
2023-07-30 15:34:52,1880.57,1880.75,1882.2,1882.25,1880.45,1880.67
2023-07-30 15:35:03,1880.59,1880.74,1882.2,1882.25,1880.45,1880.67
2023-07-30 15:35:14,1880.47,1880.59,1882.2,1882.25,1880.45,1880.67
2023-07-30 15:35:24,1880.53,1880.7,1882.2,1882.25,1880.45,1880.57
