,t,o
35,2022-04-21,"{'1m': 48.2183230172617, '1w': 39.2230030103314, '1y': 73.8734523669357, '2w': 46.8998020780166, '3m': 67.4966724249194, '6m': 65.0512622063498}"
36,2022-04-22,"{'1m': 48.6573816043672, '1w': 46.6414284319863, '1y': 73.9030144258151, '2w': 50.1077270003721, '3m': 65.6223563169485, '6m': 65.1105754069826}"
37,2022-04-23,"{'1m': 48.7867303139391, '1w': 47.9203348521219, '1y': 73.4702390010084, '2w': 49.8484873946203, '3m': 65.5972403394868, '6m': 65.0624803013776}"
38,2022-04-24,"{'1m': 47.8084392974764, '1w': 47.9482986473466, '1y': 73.4526832429791, '2w': 49.479705240061, '3m': 65.2065574382701, '6m': 65.0503450469061}"
39,2022-04-25,"{'1m': 47.2805650797269, '1w': 46.4591831576115, '1y': 73.4479566533706, '2w': 45.9412515973525, '3m': 64.5840277161903, '6m': 64.8979980770269}"
40,2022-04-26,"{'1m': 49.3196185034855, '1w': 47.3236319092928, '1y': 73.2338437805337, '2w': 46.7916210197478, '3m': 64.8155127921921, '6m': 65.1204880869855}"
41,2022-04-27,"{'1m': 50.3698483728963, '1w': 51.62639671273, '1y': 73.2561565600251, '2w': 49.2266589925286, '3m': 64.8989626854576, '6m': 65.0061803661458}"
42,2022-04-28,"{'1m': 47.1704327364283, '1w': 54.111208192407, '1y': 73.2739127186056, '2w': 48.3485841411349, '3m': 64.8459497794927, '6m': 64.9029717919004}"
43,2022-04-29,"{'1m': 47.3837442551598, '1w': 49.6982745066949, '1y': 73.2772599812736, '2w': 48.3101701498635, '3m': 64.8490607703294, '6m': 64.8336415385259}"
44,2022-04-30,"{'1m': 47.5283773768002, '1w': 49.3365365687298, '1y': 73.1633674974682, '2w': 48.6611979601669, '3m': 64.9139699004986, '6m': 64.8445868448019}"
45,2022-05-01,"{'1m': 46.8548703548476, '1w': 49.8342562207527, '1y': 72.9772650085068, '2w': 49.00198252403, '3m': 64.8990156800121, '6m': 64.9949059286351}"
46,2022-05-02,"{'1m': 46.2635534578013, '1w': 50.6162837462289, '1y': 72.9847654321566, '2w': 48.5705708867847, '3m': 64.8380636666831, '6m': 64.935995762642}"
47,2022-05-03,"{'1m': 46.2172128337397, '1w': 41.2446961890838, '1y': 72.9584396334088, '2w': 44.3244510241902, '3m': 64.4553288571153, '6m': 64.8774406542044}"
48,2022-05-04,"{'1m': 47.3999589087827, '1w': 37.6055361559433, '1y': 72.8611049094489, '2w': 46.0214985583121, '3m': 63.5918059638799, '6m': 64.9669691058437}"
49,2022-05-05,"{'1m': 50.4726024829653, '1w': 50.675653640872, '1y': 72.955815714071, '2w': 52.4936823161518, '3m': 62.4007735468524, '6m': 65.3848227115465}"
50,2022-05-06,"{'1m': 54.0539482934253, '1w': 66.8499072533039, '1y': 73.2032967004464, '2w': 59.3003244817778, '3m': 63.9211538623729, '6m': 66.0626196928341}"
51,2022-05-07,"{'1m': 53.3202016774993, '1w': 66.7542926257168, '1y': 73.1846439976131, '2w': 58.9572474897625, '3m': 63.4290574711618, '6m': 65.9997132720032}"
