timestamp,Binance_BTCTUSD,Bybit_BTCUSDT,Deribit_BTCPERPETUAL
2023-07-21 10:59:03,29773.28,29742.3,29768.5
2023-07-21 10:59:14,29772.98,29742.3,29768.5
2023-07-21 12:09:11,29802.78,29766.1,29792.5
2023-07-21 12:09:22,29801.83,29766.1,29792.5
2023-07-21 12:09:33,29805.61,29766.6,29792.5
2023-07-21 12:09:44,29803.79,29767.0,29792.5
2023-07-21 12:09:55,29804.58,29767.0,29792.5
2023-07-21 12:10:06,29803.98,29767.0,29792.5
2023-07-21 12:10:17,29803.83,29768.9,29792.5
2023-07-21 12:10:28,29804.21,29768.9,29792.5
2023-07-21 12:10:39,29810.79,29777.6,29802.0
2023-07-21 12:10:49,29811.11,29777.6,29802.0
2023-07-21 12:11:00,29811.81,29777.6,29802.0
2023-07-21 12:11:11,29810.74,29777.6,29802.0
2023-07-21 20:05:51,29957.33,29926.4,29962.0
2023-07-21 20:06:02,29956.86,29922.6,29959.0
2023-07-21 20:06:13,29958.61,29922.6,29959.0
2023-07-21 20:06:25,29958.25,29922.6,29959.0
2023-07-21 20:06:36,29959.96,29925.5,29959.0
2023-07-21 20:06:47,29957.41,29925.5,29959.0
2023-07-21 20:06:58,29947.0,29915.1,29950.5
2023-07-21 20:07:09,29956.11,29925.0,29953.0
2023-07-21 20:07:20,29949.39,29919.8,29953.0
2023-07-21 20:07:30,29944.72,29916.5,29950.5
2023-07-21 20:07:41,29942.75,29914.0,29945.5
2023-07-21 20:07:53,29939.92,29903.5,29942.5
2023-07-21 20:08:04,29937.44,29902.2,29932.5
2023-07-21 20:08:15,29933.41,29895.7,29932.5
2023-07-21 20:08:26,29922.0,29888.5,29925.0
2023-07-21 20:08:36,29932.0,29896.0,29925.0
2023-07-21 20:08:47,29917.1,29888.6,29920.5
2023-07-21 20:08:59,29910.6,29880.1,29910.5
2023-07-21 20:09:09,29904.52,29867.2,29900.0
2023-07-21 20:09:21,29912.12,29881.0,29908.0
2023-07-21 20:09:32,29901.23,29869.3,29898.0
2023-07-21 20:09:43,29907.43,29873.0,29898.0
2023-07-21 20:09:54,29916.0,29886.0,29910.0
2023-07-21 20:10:04,29905.67,29872.9,29902.5
2023-07-21 20:10:16,29901.67,29869.3,29900.5
2023-07-21 20:10:27,29908.0,29881.4,29907.0
2023-07-21 20:10:38,29921.02,29888.6,29914.5
2023-07-21 20:10:49,29908.79,29882.7,29913.0
2023-07-21 20:11:00,29901.79,29872.3,29898.5
2023-07-21 20:11:11,29901.89,29873.0,29898.5
2023-07-21 20:11:22,29895.7,29869.1,29898.5
2023-07-21 20:11:33,29889.94,29864.1,29890.5
2023-07-21 20:11:44,29880.95,29850.6,29882.0
2023-07-21 20:11:56,29877.07,29844.3,29880.5
2023-07-21 20:12:07,29877.94,29850.0,29876.5
2023-07-21 20:12:17,29884.83,29851.7,29874.0
2023-07-21 20:12:28,29871.28,29845.6,29874.0
2023-07-21 20:12:38,29875.37,29843.0,29867.5
2023-07-21 20:12:49,29873.33,29841.2,29865.5
2023-07-21 20:13:00,29862.12,29836.1,29862.5
2023-07-21 20:13:11,29867.87,29834.0,29861.0
2023-07-21 20:13:22,29866.4,29834.0,29861.0
2023-07-21 20:13:33,29867.96,29834.0,29861.0
2023-07-21 20:13:44,29869.93,29837.9,29861.0
2023-07-21 20:13:56,29863.98,29835.1,29861.0
2023-07-21 20:14:07,29862.84,29833.8,29858.5
2023-07-21 20:14:19,29858.96,29833.8,29858.5
2023-07-21 20:14:30,29824.94,29794.7,29819.0
2023-07-21 20:14:41,29806.99,29772.7,29797.5
2023-07-21 20:14:52,29817.32,29785.7,29806.5
2023-07-21 20:15:03,29805.99,29777.8,29802.5
2023-07-21 20:15:14,29805.68,29777.8,29802.5
