timestamp,Binance_BTCTUSD_bid,Binance_BTCTUSD_ask,Deribit_BTCPERPETUAL_bid,Deribit_BTCPERPETUAL_ask,Bitget_BTCUSDTUMCBL_bid,Bitget_BTCUSDTUMCBL_ask
2023-08-02 19:04:39,29134.38,29135.2,29156.0,29156.5,29133.0,29133.5
2023-08-02 19:04:49,29133.19,29133.65,29156.0,29156.5,29133.0,29133.5
2023-08-02 19:05:00,29140.74,29141.79,29156.0,29156.5,29135.0,29135.5
2023-08-02 19:05:11,29138.12,29139.4,29160.5,29161.0,29139.5,29140.0
2023-08-02 19:05:22,29137.57,29138.62,29160.5,29161.0,29136.5,29137.0
2023-08-02 19:05:33,29132.62,29133.56,29160.5,29161.0,29135.0,29135.5
2023-08-02 19:05:43,29130.35,29132.0,29160.5,29161.0,29133.0,29133.5
2023-08-02 19:05:54,29130.14,29131.21,29157.5,29158.0,29133.0,29133.5
2023-08-02 19:06:05,29130.47,29130.48,29157.5,29158.0,29133.0,29133.5
2023-08-02 19:06:16,29123.6,29125.1,29151.0,29151.5,29126.0,29126.5
2023-08-02 19:06:27,29124.01,29124.94,29151.0,29151.5,29123.0,29123.5
2023-08-02 19:06:37,29121.01,29122.13,29147.0,29147.5,29121.0,29121.5
2023-08-02 19:06:48,29120.37,29121.08,29147.0,29147.5,29121.0,29121.5
2023-08-02 19:06:59,29127.76,29128.29,29144.0,29144.5,29121.0,29121.5
2023-08-02 19:07:10,29125.73,29126.47,29144.0,29144.5,29121.0,29121.5
2023-08-02 19:07:21,29125.1,29126.03,29144.0,29144.5,29121.0,29121.5
2023-08-02 19:07:31,29122.31,29123.02,29144.0,29144.5,29121.0,29121.5
2023-08-02 19:07:42,29121.37,29122.16,29144.0,29144.5,29121.0,29121.5
2023-08-02 19:07:53,29121.74,29122.42,29144.0,29144.5,29121.0,29121.5
2023-08-02 19:08:04,29121.67,29122.58,29144.0,29144.5,29121.0,29121.5
2023-08-02 19:08:15,29124.77,29125.1,29144.0,29144.5,29121.0,29121.5
2023-08-02 19:08:25,29127.01,29127.99,29144.0,29144.5,29121.0,29121.5
2023-08-02 19:08:36,29126.89,29127.24,29144.0,29144.5,29121.0,29121.5
2023-08-02 19:08:47,29125.42,29126.31,29144.0,29144.5,29121.0,29121.5
2023-08-02 19:08:58,29132.53,29133.88,29151.0,29151.5,29130.0,29130.5
2023-08-02 19:09:08,29128.48,29128.89,29151.0,29151.5,29127.5,29128.0
2023-08-02 19:09:19,29130.61,29131.2,29151.0,29151.5,29127.5,29128.0
2023-08-02 19:09:30,29137.44,29137.61,29151.0,29151.5,29131.5,29132.0
2023-08-02 19:09:41,29130.83,29133.37,29153.5,29154.0,29132.0,29132.5
2023-08-02 19:09:52,29138.8,29139.49,29153.5,29154.0,29133.5,29134.0
2023-08-02 19:10:02,29141.12,29141.73,29153.5,29154.0,29135.0,29135.5
2023-08-02 19:10:13,29136.02,29137.09,29153.5,29154.0,29136.0,29136.5
2023-08-02 19:10:24,29137.02,29137.78,29153.5,29154.0,29136.0,29136.5
2023-08-02 19:10:35,29138.06,29138.16,29153.5,29154.0,29136.0,29136.5
2023-08-02 19:10:46,29128.75,29129.27,29153.5,29154.0,29131.0,29131.5
2023-08-02 19:10:56,29131.21,29132.07,29144.5,29145.0,29127.5,29128.0
2023-08-02 19:11:07,29128.25,29129.26,29144.5,29145.0,29127.5,29128.0
2023-08-02 19:18:58,29152.38,29153.59,29172.5,29173.0,29151.0,29151.5
2023-08-02 19:19:09,29152.36,29153.39,29172.5,29173.0,29151.0,29151.5
2023-08-02 19:19:20,29154.55,29155.86,29172.5,29173.0,29151.5,29152.0
2023-08-02 19:19:31,29158.35,29159.21,29177.5,29178.0,29157.5,29158.0
2023-08-02 19:19:41,29160.06,29161.13,29179.0,29179.5,29159.0,29159.5
2023-08-02 19:19:52,29155.82,29157.4,29179.0,29179.5,29157.5,29158.0
2023-08-02 19:20:03,29161.63,29162.74,29179.0,29179.5,29157.5,29158.0
2023-08-02 19:20:14,29163.75,29163.99,29179.0,29179.5,29160.5,29161.0
2023-08-02 19:20:25,29164.12,29164.81,29179.0,29179.5,29162.5,29163.0
2023-08-02 19:20:35,29158.67,29159.0,29179.0,29179.5,29159.0,29159.5
2023-08-02 19:20:46,29166.76,29167.81,29182.0,29182.5,29162.5,29163.0
2023-08-02 19:20:57,29168.65,29169.3,29182.0,29182.5,29163.0,29163.5
2023-08-02 19:21:08,29167.84,29168.85,29182.0,29182.5,29164.0,29164.5
2023-08-02 19:21:19,29164.12,29165.42,29182.0,29182.5,29163.5,29164.0
2023-08-02 19:21:29,29166.46,29167.14,29182.0,29182.5,29163.5,29164.0
2023-08-02 19:21:40,29161.53,29162.55,29182.0,29182.5,29163.5,29164.0
2023-08-02 19:21:51,29162.49,29163.28,29182.0,29182.5,29163.5,29164.0
2023-08-02 19:22:02,29164.01,29165.06,29182.0,29182.5,29163.5,29164.0
2023-08-02 19:22:13,29164.78,29164.88,29182.0,29182.5,29163.5,29164.0
2023-08-02 19:22:23,29162.64,29163.47,29182.0,29182.5,29164.0,29164.5
2023-08-02 19:22:34,29165.23,29165.88,29182.0,29182.5,29164.5,29165.0
2023-08-02 19:22:45,29169.28,29169.98,29192.0,29192.5,29168.0,29168.5
2023-08-02 19:22:56,29170.24,29170.91,29192.0,29192.5,29168.5,29169.0
2023-08-02 19:23:06,29170.42,29172.9,29195.0,29195.5,29175.5,29176.0
2023-08-02 19:23:17,29166.26,29167.98,29192.5,29193.0,29171.0,29171.5
2023-08-02 19:23:28,29167.77,29168.43,29192.5,29193.0,29170.5,29171.0
2023-08-02 19:23:39,29167.96,29168.88,29192.5,29193.0,29168.5,29169.0
2023-08-02 19:23:50,29165.77,29166.61,29192.5,29193.0,29168.5,29169.0
2023-08-02 19:24:00,29161.15,29161.99,29187.0,29187.5,29168.0,29168.5
2023-08-02 19:24:11,29160.55,29160.86,29185.0,29185.5,29168.0,29168.5
2023-08-02 19:24:22,29161.3,29162.47,29185.0,29185.5,29167.0,29167.5
2023-08-02 19:24:33,29162.56,29162.66,29185.0,29185.5,29164.0,29164.5
2023-08-02 19:24:44,29164.83,29166.0,29185.0,29185.5,29164.0,29164.5
2023-08-02 19:24:54,29164.74,29165.83,29185.0,29185.5,29164.0,29164.5
2023-08-02 19:25:05,29159.17,29160.59,29185.0,29185.5,29163.5,29164.0
2023-08-02 19:25:16,29164.01,29165.0,29185.0,29185.5,29157.5,29158.0
2023-08-02 19:25:27,29156.67,29157.97,29185.0,29185.5,29157.5,29158.0
2023-08-02 19:25:38,29154.36,29155.27,29185.0,29185.5,29157.5,29158.0
2023-08-02 19:25:48,29154.24,29154.83,29185.0,29185.5,29157.0,29157.5
2023-08-02 19:25:59,29153.64,29154.82,29185.0,29185.5,29157.0,29157.5
2023-08-02 19:26:10,29155.54,29156.62,29185.0,29185.5,29154.5,29155.0
2023-08-02 19:26:21,29153.78,29154.67,29179.0,29179.5,29153.0,29153.5
2023-08-02 19:26:32,29163.19,29163.2,29184.5,29185.0,29154.5,29155.0
2023-08-02 19:26:43,29157.62,29158.96,29184.5,29185.0,29154.5,29155.0
2023-08-02 19:26:53,29159.43,29160.1,29184.5,29185.0,29156.0,29156.5
2023-08-02 19:27:04,29159.75,29160.7,29184.5,29185.0,29156.5,29157.0
2023-08-02 19:27:15,29157.63,29158.77,29184.5,29185.0,29157.5,29158.0
2023-08-02 19:27:26,29153.53,29154.79,29179.0,29179.5,29154.5,29155.0
2023-08-02 19:27:36,29149.5,29150.37,29176.0,29176.5,29152.0,29152.5
2023-08-02 19:27:47,29149.53,29150.77,29176.0,29176.5,29151.5,29152.0
2023-08-02 19:27:58,29156.68,29157.08,29176.0,29176.5,29152.5,29153.0
2023-08-02 19:28:09,29155.75,29156.74,29176.0,29176.5,29152.5,29153.0
2023-08-02 19:28:20,29161.29,29161.89,29179.0,29179.5,29157.0,29157.5
2023-08-02 19:28:30,29165.64,29166.75,29185.0,29185.5,29159.0,29159.5
2023-08-02 19:28:41,29167.77,29168.44,29187.5,29188.0,29164.5,29165.0
2023-08-02 19:28:52,29171.0,29171.72,29187.5,29188.0,29166.0,29166.5
2023-08-02 19:29:03,29169.4,29170.32,29187.5,29188.0,29166.5,29167.0
2023-08-02 19:29:14,29171.15,29172.13,29187.5,29188.0,29166.5,29167.0
2023-08-02 19:29:25,29175.33,29176.62,29195.5,29196.0,29175.0,29175.5
2023-08-02 19:29:35,29168.56,29170.0,29195.5,29196.0,29172.5,29173.0
2023-08-02 19:29:46,29170.51,29171.53,29195.5,29196.0,29172.0,29172.5
2023-08-02 19:29:57,29171.67,29172.13,29195.5,29196.0,29172.0,29172.5
2023-08-02 19:30:08,29173.04,29174.52,29195.5,29196.0,29172.5,29173.0
2023-08-02 19:30:19,29178.08,29179.3,29195.5,29196.0,29175.0,29175.5
