Date,value
1608897600000,1.38110000
1608912000000,1.42830000
1608926400000,1.44640000
1608940800000,1.42480000
1608955200000,1.37760000
1608969600000,1.37890000
1608984000000,1.36040000
1608998400000,1.35170000
1609012800000,1.32580000
1609027200000,1.31880000
1609041600000,1.30660000
1609056000000,1.29740000
1609070400000,1.40140000
1609084800000,1.35470000
1609099200000,1.30370000
1609113600000,1.33060000
1609128000000,1.35370000
1609142400000,1.38420000
1609156800000,1.39430000
1609171200000,1.42600000
1609185600000,1.51720000
1609200000000,1.44710000
1609214400000,1.54610000
1609228800000,1.57670000
1609243200000,1.55840000
1609257600000,1.65150000
1609272000000,1.67040000
1609286400000,1.63740000
1609300800000,1.57800000
1609315200000,1.57870000
1609329600000,1.57660000
1609344000000,1.57120000
1609358400000,1.53500000
1609372800000,1.49450000
1609387200000,1.52480000
1609401600000,1.49120000
1609416000000,1.45810000
1609430400000,1.54950000
1609444800000,1.50730000
1609459200000,1.60290000
1609473600000,1.61960000
1609488000000,1.62720000
1609502400000,1.64630000
1609516800000,1.72560000
1609531200000,1.84210000
1609545600000,1.86140000
1609560000000,1.75230000
1609574400000,1.76550000
1609588800000,1.77930000
1609603200000,1.91760000
1609617600000,1.79990000
1609632000000,1.94620000
1609646400000,2.07090000
1609660800000,2.26570000
1609675200000,2.07420000
1609689600000,1.96380000
1609704000000,2.17790000
1609718400000,2.30940000
1609732800000,2.11680000
1609747200000,2.04290000
1609761600000,2.27860000
1609776000000,2.43970000
1609790400000,2.49090000
1609804800000,2.19270000
1609819200000,2.18640000
1609833600000,2.38400000
1609848000000,2.19480000
1609862400000,2.23410000
1609876800000,2.16360000
1609891200000,1.98930000
1609905600000,2.01920000
1609920000000,2.08000000
1609934400000,2.08130000
1609948800000,1.98100000
1609963200000,1.94140000
1609977600000,2.17550000
1609992000000,2.12640000
1610006400000,2.20370000
1610020800000,2.38340000
1610035200000,2.36260000
1610049600000,2.36350000
1610064000000,2.26190000
1610078400000,2.40950000
1610092800000,3.15190000
1610107200000,3.29920000
1610121600000,3.21050000
1610136000000,3.22140000
1610150400000,3.16380000
1610164800000,3.08340000
1610179200000,3.13580000
1610193600000,3.10660000
1610208000000,3.62380000
1610222400000,3.38290000
1610236800000,3.52650000
1610251200000,3.73300000
1610265600000,3.25010000
1610280000000,3.41370000
1610294400000,3.32510000
1610308800000,3.44900000
1610323200000,3.13760000
1610337600000,2.99460000
1610352000000,2.85890000
1610366400000,2.75980000
1610380800000,2.85780000
1610395200000,3.10160000
1610409600000,3.27080000
1610424000000,3.38240000
1610438400000,3.41850000
1610452800000,3.30390000
1610467200000,3.67770000
1610481600000,3.63540000
1610496000000,3.51280000
1610510400000,3.48680000
1610524800000,3.37080000
1610539200000,3.53980000
1610553600000,3.48310000
1610568000000,3.52420000
1610582400000,3.38440000
1610596800000,3.40400000
1610611200000,3.42190000
1610625600000,3.48990000
1610640000000,3.28860000
1610654400000,3.29210000
1610668800000,3.32780000
1610683200000,3.37110000
1610697600000,3.37470000
1610712000000,3.10060000
1610726400000,3.16150000
1610740800000,3.24750000
1610755200000,3.45300000
1610769600000,3.45740000
1610784000000,3.41220000
1610798400000,3.40240000
1610812800000,3.58530000
1610827200000,3.42470000
1610841600000,3.71270000
1610856000000,3.39260000
1610870400000,3.60090000
1610884800000,3.55050000
1610899200000,3.78620000
1610913600000,3.82680000
1610928000000,3.76070000
1610942400000,4.01380000
1610956800000,3.91220000
1610971200000,3.95740000
1610985600000,3.90210000
1611000000000,3.78680000
1611014400000,3.96100000
1611028800000,3.81230000
1611043200000,3.90000000
1611057600000,3.83360000
1611072000000,3.62950000
1611086400000,3.62870000
1611100800000,3.54470000
1611115200000,3.61190000
1611129600000,3.41250000
1611144000000,3.51580000
1611158400000,3.67400000
1611172800000,3.71660000
1611187200000,3.53000000
1611201600000,3.55100000
1611216000000,3.48420000
1611230400000,3.30770000
1611244800000,3.31560000
1611259200000,2.98990000
1611273600000,3.15870000
1611288000000,3.08130000
1611302400000,3.21650000
1611316800000,3.39160000
1611331200000,3.42430000
1611345600000,3.33520000
1611360000000,3.42260000
1611374400000,3.55150000
1611388800000,3.45700000
1611403200000,3.47220000
1611417600000,3.51400000
1611432000000,3.50790000
1611446400000,3.55550000
1611460800000,3.72500000
1611475200000,3.74190000
1611489600000,3.59360000
1611504000000,3.55000000
1611518400000,3.62780000
1611532800000,3.54690000
1611547200000,3.51770000
1611561600000,3.57290000
1611576000000,3.71160000
1611590400000,3.89300000
1611604800000,3.70380000
1611619200000,3.73280000
1611633600000,3.75130000
1611648000000,4.01700000
1611662400000,3.78820000
1611676800000,4.02240000
1611691200000,4.04100000
1611705600000,3.84380000
1611720000000,3.78580000
1611734400000,3.63130000
1611748800000,3.72530000
1611763200000,3.70110000
1611777600000,3.67500000
1611792000000,3.73190000
1611806400000,3.76040000
1611820800000,3.82350000
1611835200000,3.88840000
1611849600000,3.85420000
1611864000000,3.81000000
1611878400000,3.78750000
1611892800000,3.66640000
1611907200000,3.72800000
1611921600000,3.81300000
1611936000000,3.73880000
1611950400000,3.82930000
1611964800000,3.82860000
1611979200000,3.83280000
1611993600000,3.88100000
1612008000000,4.04260000
1612022400000,4.02000000
1612036800000,4.22800000
1612051200000,4.32400000
1612065600000,4.48670000
1612080000000,4.55000000
1612094400000,4.22660000
1612108800000,4.29240000
1612123200000,4.25250000
1612137600000,4.21860000
1612152000000,4.17190000
1612166400000,4.36970000
1612180800000,4.20580000
1612195200000,4.49500000
1612209600000,4.61480000
1612224000000,4.80680000
1612238400000,4.95600000
1612252800000,5.22000000
1612267200000,5.06120000
1612281600000,5.16540000
1612296000000,5.23310000
1612310400000,5.10360000
1612324800000,5.18770000
1612339200000,5.22390000
1612353600000,5.60680000
1612368000000,5.45540000
1612382400000,5.73110000
1612396800000,5.91100000
1612411200000,5.83140000
1612425600000,5.76310000
1612440000000,5.70920000
1612454400000,5.88600000
1612468800000,6.40850000
1612483200000,6.84510000
1612497600000,6.76680000
1612512000000,6.66290000
1612526400000,6.93160000
1612540800000,6.71600000
1612555200000,6.70050000
1612569600000,6.14570000
1612584000000,5.98090000
1612598400000,6.00330000
1612612800000,5.79330000
1612627200000,6.08500000
1612641600000,6.12250000
1612656000000,5.90170000
1612670400000,5.90790000
1612684800000,6.65910000
1612699200000,6.45510000
1612713600000,6.54420000
1612728000000,6.69760000
1612742400000,6.64590000
1612756800000,7.55870000
1612771200000,7.48680000
1612785600000,7.75510000
1612800000000,8.03440000
1612814400000,7.85500000
1612828800000,8.32800000
1612843200000,8.06450000
1612857600000,7.75960000
1612872000000,7.69500000
1612886400000,7.91640000
1612900800000,7.80050000
1612915200000,8.30960000
1612929600000,8.16810000
1612944000000,8.24560000
1612958400000,7.78060000
1612972800000,8.35730000
1612987200000,9.09000000
1613001600000,8.94890000
1613016000000,9.45590000
1613030400000,9.15900000
1613044800000,9.27480000
1613059200000,9.12190000
1613073600000,9.20040000
1613088000000,9.42420000
1613102400000,9.33770000
1613116800000,9.76620000
1613131200000,9.54190000
1613145600000,9.44210000
1613160000000,9.20000000
1613174400000,9.39410000
1613188800000,9.14510000
1613203200000,8.86090000
1613217600000,9.06700000
1613232000000,8.88840000
1613246400000,8.74410000
1613260800000,8.90880000
1613275200000,8.70830000
1613289600000,8.56990000
1613304000000,8.67730000
1613318400000,8.85170000
1613332800000,8.71580000
1613347200000,8.11480000
1613361600000,8.28920000
1613376000000,8.62760000
1613390400000,8.91320000
1613404800000,9.19430000
1613419200000,8.85160000
1613433600000,8.90370000
1613448000000,8.72110000
1613462400000,8.57500000
1613476800000,8.38990000
1613491200000,8.14170000
1613505600000,8.30020000
1613520000000,7.71250000
1613534400000,7.94870000
1613548800000,8.10480000
1613563200000,8.23190000
1613577600000,8.40130000
1613592000000,8.23570000
1613606400000,8.45990000
1613620800000,8.54840000
1613635200000,8.51780000
1613649600000,9.24100000
1613664000000,9.03300000
1613678400000,8.97710000
1613692800000,8.68180000
1613707200000,9.49140000
1613721600000,9.84920000
1613736000000,10.95130000
1613750400000,11.46960000
1613764800000,11.49120000
1613779200000,11.10030000
