timestamp,Binance_BTCTUSD,Bybit_BTCUSDT,Deribit_BTCPERPETUAL,Bitget_BTCUSDTUMCBL
2023-07-11 17:14:48,30631.58,30607.9,30641.5,30597.5
2023-07-11 17:14:59,30631.95,30606.4,30641.5,30595.5
2023-07-11 17:15:10,30631.8,30606.4,30641.5,30595.5
2023-07-11 17:15:21,30632.52,30606.4,30641.5,30596.0
2023-07-11 17:15:31,30635.05,30606.4,30641.5,30598.0
2023-07-11 17:15:42,30633.7,30606.4,30641.5,30598.0
2023-07-11 17:15:54,30630.7,30606.4,30641.5,30596.0
2023-07-11 17:16:05,30632.6,30606.4,30641.5,30595.5
2023-07-11 17:16:15,30633.77,30606.4,30641.5,30596.0
2023-07-11 17:16:26,30633.54,30606.4,30641.5,30596.0
2023-07-11 17:16:37,30644.38,30614.1,30648.0,30602.0
2023-07-11 17:16:48,30644.46,30615.0,30650.0,30607.0
2023-07-11 17:17:00,30647.79,30616.8,30655.0,30609.5
2023-07-11 17:17:11,30650.37,30619.7,30655.0,30609.5
2023-07-11 17:17:22,30645.87,30620.5,30655.0,30609.5
2023-07-11 17:17:33,30645.11,30620.5,30655.0,30609.5
2023-07-11 17:17:44,30634.75,30607.9,30641.5,30597.0
2023-07-11 17:17:55,30633.99,30603.3,30641.5,30596.0
2023-07-11 17:18:06,30629.29,30603.3,30641.5,30596.0
2023-07-11 17:18:17,30631.27,30603.3,30641.5,30593.5
2023-07-11 17:18:28,30616.78,30586.8,30625.5,30577.0
2023-07-11 17:18:39,30618.75,30585.6,30625.5,30577.5
2023-07-11 17:18:50,30614.17,30587.0,30625.5,30576.5
2023-07-11 17:19:01,30619.99,30593.9,30628.0,30585.0
2023-07-11 17:19:12,30617.44,30588.7,30628.0,30581.0
2023-07-11 17:19:22,30619.06,30588.5,30628.0,30581.0
2023-07-11 17:19:33,30621.11,30591.0,30628.0,30581.5
2023-07-11 17:19:44,30619.97,30591.0,30628.0,30581.5
2023-07-11 17:19:55,30626.58,30595.0,30631.0,30587.0
2023-07-11 17:20:06,30624.84,30595.0,30631.0,30587.5
2023-07-11 17:20:17,30618.5,30591.5,30631.0,30582.5
2023-07-11 17:20:28,30617.53,30588.2,30631.0,30582.5
2023-07-11 17:20:39,30621.7,30588.2,30631.0,30581.0
2023-07-11 17:20:50,30620.67,30588.2,30631.0,30581.0
2023-07-11 17:21:01,30620.74,30588.2,30631.0,30581.0
2023-07-11 17:21:12,30620.03,30588.2,30631.0,30581.0
2023-07-11 17:21:23,30618.93,30588.2,30631.0,30581.0
2023-07-11 17:21:34,30614.79,30585.1,30627.0,30577.0
2023-07-11 17:21:45,30615.29,30585.1,30627.0,30576.0
2023-07-11 17:21:56,30619.21,30585.1,30627.0,30576.0
2023-07-11 17:22:07,30611.45,30574.4,30621.5,30568.5
2023-07-11 17:22:18,30616.85,30581.6,30621.5,30574.0
2023-07-11 17:22:28,30616.48,30581.6,30621.5,30574.0
2023-07-11 17:22:39,30612.9,30582.6,30621.5,30574.5
2023-07-11 17:22:50,30612.79,30581.0,30621.5,30571.5
2023-07-11 17:23:01,30615.43,30581.0,30621.5,30572.5
2023-07-11 17:23:12,30615.09,30581.0,30621.5,30574.5
2023-07-11 17:23:23,30614.08,30581.0,30621.5,30572.5
2023-07-11 17:23:34,30614.13,30581.0,30621.5,30572.5
2023-07-11 17:23:45,30614.87,30581.0,30621.5,30572.5
2023-07-11 17:23:56,30617.25,30581.0,30621.5,30574.0
2023-07-11 17:24:07,30617.94,30581.0,30621.5,30575.0
2023-07-11 17:24:18,30619.06,30583.6,30621.5,30575.0
2023-07-11 17:24:29,30618.82,30583.6,30621.5,30575.0
2023-07-11 17:24:40,30617.34,30583.6,30621.5,30575.0
2023-07-11 17:24:51,30618.25,30583.6,30621.5,30577.5
2023-07-11 17:25:02,30614.34,30584.0,30621.5,30577.5
2023-07-11 17:25:13,30613.38,30578.3,30618.5,30571.5
2023-07-11 17:25:24,30624.89,30589.0,30629.5,30582.5
2023-07-11 17:25:35,30631.38,30600.7,30638.0,30593.5
2023-07-11 17:25:45,30639.83,30606.6,30643.0,30599.5
2023-07-11 17:25:56,30641.15,30612.0,30648.5,30603.0
2023-07-11 17:26:07,30639.64,30611.8,30648.5,30602.5
2023-07-11 17:26:18,30635.96,30611.1,30648.5,30600.5
2023-07-11 17:26:29,30636.82,30608.9,30648.5,30598.0
2023-07-11 17:26:40,30636.58,30606.3,30648.5,30597.0
