,o
361,78.4412995134627
362,79.5058569077186
363,79.3916204487798
364,83.2218992889575
365,83.7847433758403
366,85.0364019670348
367,85.59233045102
368,84.6549794017742
369,86.5395969950149
370,87.18364293764
371,86.4354558622732
372,86.5075831901822
373,86.9791864469452
374,86.9060150808124
375,86.8530818341225
376,86.5767798820575
377,85.7850349138688
378,85.6348162847059
379,85.4168555934678
380,85.5221819935914
381,85.2019956914351
382,85.2145998966043
383,84.8561774790009
384,86.5601855406169
385,86.9908497037012
386,88.1233867630848
387,88.0284632880603
388,88.1928055904267
389,88.0352919265829
390,89.5754856198949
391,89.1517857812161
392,88.6840446107066
393,88.6153059433235
394,88.4006460479322
395,88.6491788557244
396,88.7520435042271
397,89.429292898325
398,89.8723138844626
399,90.6215999802248
400,90.7175700959593
401,90.7427452431548
402,91.3818524482138
403,91.7285947225893
404,92.1295420067474
405,92.2972508355771
406,92.2913449543026
407,92.8780597867746
408,92.8991349974828
409,93.2033866066891
410,93.3843260635041
411,93.5858150139701
412,93.5867933248379
413,93.5586019248743
414,93.8884472160133
415,93.8505913534365
416,93.7256350369943
417,93.696490943163
418,93.7684220465981
419,93.4549575773311
420,93.2189436691197
421,93.3166942021466
422,93.3205129398098
423,93.2792266525666
424,91.7265006499841
425,91.5598861164188
426,91.7828901360898
427,92.4998462334511
428,92.7193931580798
429,91.4820662341484
430,91.904246975046
431,91.9094328686126
432,93.6198656031703
433,93.5392125035898
434,94.3185802147841
435,94.2720365450309
436,93.9319599627355
437,94.0787893545474
438,93.449320650438
439,93.8144993455964
440,93.8254170231728
441,93.5720388218303
442,93.4535477443077
443,93.8199667999201
444,94.4904730848937
445,94.3720240403222
446,94.5612264283133
447,94.7612333446168
448,94.4449153660926
449,94.3818361785721
450,91.9477504453046
451,92.0560828622804
452,91.8628712665945
453,91.6735028078304
454,90.3884619041689
455,90.3850777697956
456,86.5832887958269
457,85.6552719275527
458,84.4880844922634
459,83.1625586534093
460,80.9374508195331
461,78.668752793249
462,78.1070588997582
463,77.9595704525042
464,77.9103813811331
465,76.7696978724336
466,76.2167529524364
467,75.8313253531599
468,75.7992795260104
469,75.485745389582
470,75.6633860804579
471,75.4256357425555
472,74.8169279482668
473,74.6165537881302
474,74.5293948291941
475,75.5864671574355
476,75.4300810437625
477,74.0832880223954
478,72.7488391221497
479,72.8190105578701
480,72.3656120616009
481,72.1677170902269
482,70.1534325053613
483,70.3151952875231
484,70.1649131622472
485,69.996850336913
486,69.4276138013406
487,68.9028705181518
488,70.1529457415541
489,69.8886740904533
490,69.214241301712
491,68.4229661115656
492,68.585290634238
493,67.8255011629595
494,66.4254456154776
495,65.9060435591668
496,65.8749010953377
497,65.5321800982192
498,65.5135505471677
499,66.5434259884276
500,67.1630639774458
501,66.9252621380612
502,66.7691150405942
503,66.6467264895668
504,67.502799140786
505,68.0482683562323
506,67.185611592601
507,67.1143628633272
508,67.0198952881875
509,67.1721168791035
510,67.1387240666709
511,67.1140659587838
512,67.1608716126293
513,67.3531962808709
514,67.4564933811131
515,67.4710358365084
516,67.4799462732309
517,67.3406912552896
518,66.7416159327172
519,66.4379609348464
520,66.6274464276828
521,66.882700301159
522,66.5549986367152
523,66.7585326735913
524,63.5189658898595
525,64.0157683919209
526,63.4213164312642
527,63.5623076047685
528,63.4318343874311
529,62.7592255122842
530,62.770439472893
531,62.082732425822996
532,61.8092746948807
533,61.7788140579778
534,61.6328803825741
535,61.013391540284
536,60.1740225872302
537,60.9883151241337
538,60.851878944726
539,60.688150768756
540,61.0762443598814
541,60.7840333158623
542,60.3451247002727
543,60.0525588667388
544,59.9629118347834
545,61.603761561625
546,61.5634681281571
547,61.6289896355207
548,62.1433561983075
549,61.4844943457795
550,61.2689291850456
551,61.6440144396287
552,61.6594454572297
553,61.529045000554
554,61.5327033877645
555,62.5510386407223
556,62.8749748447383
557,62.6920100118493
558,63.5475624207188
559,63.5412224469127
560,63.7013160472722
561,63.2694803892477
562,63.4752863498433
563,69.4414598452512
564,69.9471689510317
565,69.7912054472251
566,69.3005947434934
567,66.9413471849563
568,67.2098385768524
569,67.2335648265114
570,67.1732187359207
571,67.3126572907183
572,67.6292882127062
573,67.6246144218225
574,67.4793462808131
575,67.524230914864
576,67.8334364375283
577,67.871983196949
578,67.89169381805
579,66.5205213195172
580,66.0755758995109
581,65.9029994098637
582,65.6674896349758
583,65.7589424905405
584,65.467279085566
585,65.4924525018059
586,65.3520261513177
587,65.6345761447767
588,65.8830378466223
589,65.5983987041484
590,65.3387937904823
591,63.8623009945009
592,62.94820586294
593,62.9743491885281
594,62.990212699544
595,62.6282431562867
596,62.8030876489618
597,62.2490484807258
598,62.233170363343
599,62.2644852785723
600,62.2622897664182
601,62.0615420408769
602,62.164665743928
603,62.0811497219867
604,61.8158246861952
605,61.1256566172153
606,60.6436032292897
607,60.6618353584339
608,60.5761157308414
609,60.4165096720512
610,59.9597225403865
611,62.0060847387202
612,63.8291997977291
613,63.8093990137577
614,64.1466045751459
615,64.5861658525751
616,64.8929599053595
617,64.5950070894169
618,64.4511382976096
619,64.3691287491155
620,64.3638990126674
621,64.4753913367082
622,64.7556438494676
623,64.6038307872741
624,64.7441503141609
625,65.9338389490929
626,67.9948231772382
627,67.9835996084246
628,68.3501867925847
629,67.5508010421053
630,67.3188812836826
631,67.306248225836
632,67.2187655793887
633,67.2681284790777
634,67.2351354118773
635,67.1888673874719
636,67.6415358744809
637,66.4235571987059
638,66.7730579538534
639,67.4552044300404
640,66.9950961395807
641,66.9925107774598
642,67.0087874890754
643,67.1478786323391
644,67.3396748029321
645,68.592592092453
646,70.2343557170379
647,69.3547991387881
648,69.0276166149349
649,69.8900086123224
650,73.2668206346336
651,73.2960415113871
652,73.2537499994424
653,68.5168729268409
654,68.6361469331206
655,68.5917287837547
656,67.9817076893681
657,67.9923867706315
658,69.4686393701394
659,70.458715393374
660,70.6099913932323
661,70.4387606922608
662,70.0268431685569
663,69.8139721840206
664,69.6941996361769
665,69.9470303976196
666,69.8621810065947
667,69.8084886131527
668,69.9055417451713
669,69.8283863597675
670,69.245411955068
671,69.5002684012808
672,69.4078877745965
673,69.0139504925687
674,69.2008601711577
675,69.1609251639786
676,69.1356858925894
677,69.3171015871012
678,69.0773719296302
679,69.0079910218183
680,69.0038279817561
681,69.2909033831075
682,69.4816895389914
683,69.4680532293164
684,69.4503446375111
685,69.3434486669644
686,68.4588912514905
687,68.5269964123926
688,68.5097701809548
689,68.6022609096453
690,68.5691147720516
691,69.0330685853724
692,69.2715772319473
693,69.2725019781872
694,69.3682960332657
695,69.4715838965659
696,69.4829322086149
697,69.4288146412132
698,69.5347767958431
699,69.9094612477014
700,69.8950876754841
701,67.4966724249194
702,65.6223563169485
703,65.5972403394868
704,65.2065574382701
705,64.5840277161903
706,64.8155127921921
707,64.8989626854576
708,64.8459497794927
709,64.8490607703294
710,64.9139699004986
711,64.8990156800121
712,64.8380636666831
713,64.4553288571153
714,63.5918059638799
715,62.4007735468524
716,63.9211538623729
717,63.4290574711618
718,63.5196500880531
719,64.6191282960815
720,65.3702961316521
721,65.6499443246117
722,67.5709878740056
723,69.1215193174178
724,69.4018071241936
725,69.1722370371973
726,69.2437087853912
727,68.9657880979913
728,68.2631391309059
729,68.562780204268
730,68.6401429432253
731,68.7264802520255
732,68.4221984075738
733,68.3407371748524
734,67.2140986919197
735,65.3049845809418
736,65.2541842939114
737,65.2615947763924
738,64.3184736490142
739,64.0094917070426
740,64.5765480289362
741,64.7614751855869
742,61.029178495383
743,61.5419061244996
744,61.5219672789313
745,60.8331770847771
746,60.0732300418049
747,60.8608150815021
748,61.3384426701005
749,61.5474480887678
750,59.6149434832104
751,58.4510941323823
752,58.3995805721096
753,58.9905295238419
754,64.6998412728642
755,67.4431361095431
756,68.1774353928541
757,68.2680403794006
758,68.5053918144664
759,69.979898611503
760,71.2368809506198
761,72.4904240150067
762,72.9886314502271
763,72.7980995335268
764,72.9330031539719
765,72.9777011134556
766,72.8027973009945
767,72.8190190114988
768,72.7007972791371
769,71.7170823460485
770,71.8002467189153
771,72.1647106856142
772,72.4266538156026
773,72.1975386502302
774,72.1812751732739
775,72.4427554443679
776,72.8843763853398
777,72.8270751646233
778,73.1052083625731
779,74.0069368141771
780,73.9628630904538
781,74.0016285072986
782,73.7985840385793
783,73.7214945218408
784,73.6240695145985
785,73.7787904792688
786,74.1251883152415
787,74.1554112296135
788,74.4067655030054
789,74.7197659682449
790,74.9373030720467
791,75.7915029193172
792,75.9051038744779
793,75.73894991485341
794,75.8769845549022
795,75.9733062084572
796,76.091970522066
797,75.9684659674296
798,76.2063909388715
799,77.7497899155344
800,77.9837829343251
801,78.0326468878775
802,77.6570011681607
803,77.7119970969362
804,77.6154833502242
805,77.6918295109112
806,77.5525050198364
807,76.9503260607975
808,75.8799142223316
809,75.8695556189252
810,75.9263806910846
811,75.178663758508
812,74.7192710443028
813,74.9397272802534
814,73.1845146072142
815,72.0008050279522
816,71.7148163801365
817,71.5122880665525
818,71.441077701422
819,71.3577011580763
820,71.2425292611612
821,72.3955156872386
822,72.4827449789086
823,72.377195549896
824,72.2940003354041
825,72.16984636466739
826,71.9615633620556
827,71.8956294981091
828,72.0404685639212
829,72.5768821476717
830,72.5600362732935
831,72.5561294278531
832,71.9109904150091
833,71.4172063902603
834,71.1523748993802
835,70.669902904893
836,70.580694765247
837,70.5171602194475
838,70.5042024021787
839,69.8530820702465
840,69.8788772683038
841,69.7692945367018
842,71.7025058478053
843,72.1921384422136
844,72.087717319832
845,71.7799661562954
846,67.4521394381125
847,65.8901888670094
848,64.9435595289292
849,64.4691744538982
850,63.8520363069145
851,61.9098383969404
852,61.0244385865729
853,60.0355412391685
854,59.6971481261623
855,59.3726666108206
856,59.4294144239977
857,59.1964459704381
858,59.1515116998428
859,59.1540098626204
860,59.838838137419
861,60.6087391884382
862,60.4959674660791
863,59.8891616119472
864,59.8307750733609
865,59.6520139862692
866,59.6873319761821
867,59.8431031437481
868,59.4885276890241
869,59.3608010458898
870,59.1330153998203
871,58.2855596706349
872,58.2433035311197
873,58.0568369382227
874,57.7723593874828
875,57.3378245512029
876,57.2765291231674
877,57.3228106036429
878,57.0699586839004
879,57.0178392173963
880,56.8386721686489
881,56.4610530155948
882,55.6963742488958
883,54.5694042396197
884,54.2530214560261
885,54.1136243312557
886,53.7980237197871
887,53.718458637936
888,53.5773157267793
889,53.8000766626158
890,53.305017169844604
891,51.1875487105103
892,50.9647185993052
893,50.8726378473953
894,50.8156327301949
895,50.634967448139
896,50.5730258927321
897,50.4965052127044
898,50.6058933725071
899,50.9880557266683
900,50.9583559717797
901,51.0976724975953
902,52.4375207444304
903,56.6335709793294
904,58.7209301349662
905,58.7372162317641
906,58.7658269853986
907,58.5630743547812
908,58.7575701267409
909,59.0052298077401
910,59.011695402732
911,58.994948476778
912,58.9836260690861
913,57.2504158173614
914,56.6392768659011
915,56.9128680488081
916,56.985910471698
917,57.4174962311021
918,57.4478182332837
919,57.4078987280866
920,57.2060534644426
921,56.3272110454108
922,56.4289528557292
923,56.4746738791145
924,56.6132572838983
925,56.903615870407
926,56.8657101965748
927,56.8196510366612
928,56.822910471404
929,56.8946313587965
930,56.7755715403031
931,56.0105636681063
932,55.8937714342123
933,53.6614715136582
934,52.8601480178544
935,52.7833130631738
936,52.5033171051882
937,51.7337228721934
938,50.0444540608841
939,50.1359550324758
940,50.3603288017268
941,50.5359165463258
942,50.4621966202855
943,49.4480118133308
944,49.1849134256461
945,49.0600996226813
946,48.8965885021736
947,48.6421005155922
948,48.5579955777292
949,48.5421669178426
950,48.5016341419625
951,47.5145780480881
952,46.4311762241425
953,46.1588895641358
954,46.0747682134681
955,45.8333184365139
956,45.7695523260332
957,45.8010872175066
958,45.7354174798169
959,45.2833593124127
960,45.1212391731891
961,45.1019777994876
962,44.9773167586511
963,44.8664641356285
964,45.014973728854
965,45.0028722508885
966,44.9757251395388
967,46.1376892547138
968,46.7398349826682
969,49.5018977794524
970,49.3352679960048
971,49.3981260331214
972,49.3803348169927
973,49.387891833996
974,49.4672114919095
975,49.7389788960489
976,51.7904455911659
977,51.8551144853579
978,51.8586617686245
979,51.8570836801571
980,51.7796552926155
981,51.0250455916453
982,50.91730258975
983,50.7864322369483
984,50.7932357203479
985,51.0311746931212
986,51.1940618594264
987,51.2458172200316
988,51.5476537660671
989,51.6074959412019
990,51.3838168180261
991,51.0277377840923
992,51.1244823566205
993,50.9559847378133
994,49.0506929695006
995,43.7208061564707
996,40.8217012170515
997,39.6572554857513
998,39.3680456698742
999,39.3034784206871
1000,39.0037183213581
1001,39.4768313914875
1002,42.8288387490307
1003,43.2708456932458
1004,43.5176188015425
1005,43.4720310299262
1006,43.4790785005369
1007,42.9200267790318
1008,43.2133508495649
1009,42.8017737339711
1010,43.1017928979115
1011,43.5067810245785
1012,43.5427190526741
1013,43.576806585539
1014,43.3454003801034
1015,43.4207586368498
1016,43.4743957321224
1017,44.5368588102954
1018,44.5998230516185
1019,44.5362353269028
1020,44.4378611786368
1021,44.4220153286669
1022,44.4742866616145
1023,45.0230334564035
1024,47.5705905140647
1025,47.770259156982
1026,47.9829776386813
1027,52.0435439801335
1028,54.305519409259
1029,54.4604265317731
1030,54.1610450886302
1031,55.1631832385951
1032,55.8226178197405
1033,55.9249345663924
1034,56.0616209734496
1035,56.092257658332
1036,56.1864613607641
1037,56.4716492013156
1038,56.6573843446112
1039,56.8545942899788
1040,56.8736636526064
1041,57.0256383038437
1042,57.2560400790279
1043,57.6915113986097
1044,57.8201053174959
1045,57.9651424425226
1046,57.9828799235685
1047,58.0408975244616
1048,58.1521617201496
1049,58.1712068564618
1050,58.2056649930203
1051,58.328625899765
1052,58.349286568409
1053,58.3491732098126
1054,58.3223728934236
1055,58.450144110505
1056,59.2276142781485
1057,58.5597161060103
1058,58.1462683575223
1059,55.6586901296632
1060,55.6640860084814
1061,55.6382377459502
1062,55.8502886806601
1063,55.929082897295
1064,56.1152273300575
1065,56.3761203662193
1066,54.7821286627084
1067,54.9937200005737
1068,55.0009370923256
1069,54.9970386219067
1070,54.9474551790793
1071,55.8348663828354
